Country,Continent,Rank,Title,Artists,Album,Explicit,Duration
Ecuador,South America,27,PA' ROMPERLA,"Bad Bunny, Don Omar",LAS QUE NO IBAN A SALIR,1,3:14
Ecuador,South America,28,Sigues Con El - Remix,"Arcangel, Sech, Romeo Santos",Sigues Con El (Remix),0,3:09
Ecuador,South America,29,Locura,"Cali Y El Dandee, Sebastian Yatra",Colegio,0,3:29
Ecuador,South America,30,El Efecto,"Rauw Alejandro, Chencho Corleone",El Efecto,0,3:37
Ecuador,South America,31,Por Primera Vez,"Camilo, Evaluna Montaner",Por Primera Vez,0,3:02
Ecuador,South America,32,CÓMO SE SIENTE - Remix,"Jhay Cortez, Bad Bunny",CÓMO SE SIENTE (Remix),1,3:47
Ecuador,South America,33,LA CANCIÓN,"J Balvin, Bad Bunny",OASIS,0,4:02
Ecuador,South America,34,Los Besos,Greeicy,Los Besos,0,3:22
Ecuador,South America,35,CANCIÓN CON YANDEL,"Yandel, Bad Bunny",LAS QUE NO IBAN A SALIR,1,3:29
Ecuador,South America,36,La Santa,"Bad Bunny, Daddy Yankee",YHLQMDLG,1,3:26
Ecuador,South America,37,Vete,Bad Bunny,YHLQMDLG,1,3:12
Ecuador,South America,38,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),1,2:56
Ecuador,South America,39,Detente,"Mike Bahía, Danny Ocean",Navegando,0,3:01
Ecuador,South America,40,A Tu Merced,Bad Bunny,YHLQMDLG,0,2:55
Ecuador,South America,41,Si Me Dices Que Sí,"Reik, Farruko, Camilo",Si Me Dices Que Sí,0,3:31
Ecuador,South America,42,Tutu,"Camilo, Pedro Capó",Por Primera Vez,0,2:59
Ecuador,South America,43,Blanco,J Balvin,Colores,0,2:25
Ecuador,South America,44,Callaita,"Bad Bunny, Tainy",Callaita,1,4:10
Ecuador,South America,45,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",death bed (coffee for your head) (feat. beabadoobee),0,2:53
Ecuador,South America,46,Negro,J Balvin,Colores,0,3:02
Ecuador,South America,47,China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",China,0,5:01
Ecuador,South America,48,Quiéreme Mientras Se Pueda,Manuel Turizo,Quiéreme Mientras Se Pueda,0,3:11
Ecuador,South America,49,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02
Ecuador,South America,50,ADMV,Maluma,ADMV,0,3:13
El Salvador,North America,1,Safaera,"Bad Bunny, Jowell & Randy, Nengo Flow",YHLQMDLG,1,4:55
El Salvador,North America,2,Rojo,J Balvin,Colores,0,2:30
El Salvador,North America,3,Yo Perreo Sola,Bad Bunny,YHLQMDLG,0,2:52
El Salvador,North America,4,Favorito,Camilo,Por Primera Vez,0,3:29
El Salvador,North America,5,Tattoo,Rauw Alejandro,Tattoo,0,3:22
El Salvador,North America,6,Blinding Lights,The Weeknd,After Hours,0,3:20
El Salvador,North America,7,Hola - Remix,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Hola (Remix),0,4:09
El Salvador,North America,8,BYE ME FUI,Bad Bunny,LAS QUE NO IBAN A SALIR,1,2:58
El Salvador,North America,9,La Difícil,Bad Bunny,YHLQMDLG,1,2:43
El Salvador,North America,10,Si Veo a Tu Mamá,Bad Bunny,YHLQMDLG,0,2:50
El Salvador,North America,11,Elegí (feat. Dímelo Flow),"Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow",Elegí (feat. Dímelo Flow),0,3:17
El Salvador,North America,12,Ignorantes,"Bad Bunny, Sech",YHLQMDLG,1,3:30
El Salvador,North America,13,Fantasias,"Rauw Alejandro, Farruko",Fantasias,0,3:19
El Salvador,North America,14,La Santa,"Bad Bunny, Daddy Yankee",YHLQMDLG,1,3:26
El Salvador,North America,15,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02
El Salvador,North America,16,Sigues Con El,"Dímelo Flow, Arcangel, Sech",Sigues Con El,0,3:46
El Salvador,North America,17,CANCIÓN CON YANDEL,"Yandel, Bad Bunny",LAS QUE NO IBAN A SALIR,1,3:29
El Salvador,North America,18,Vete,Bad Bunny,YHLQMDLG,1,3:12
El Salvador,North America,19,CÓMO SE SIENTE - Remix,"Jhay Cortez, Bad Bunny",CÓMO SE SIENTE (Remix),1,3:47
El Salvador,North America,20,Diosa,Myke Towers,Easy Money Baby,1,3:34
El Salvador,North America,21,No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",Famouz,0,5:09
El Salvador,North America,22,LA CANCIÓN,"J Balvin, Bad Bunny",OASIS,0,4:02
El Salvador,North America,23,Tusa,"KAROL G, Nicki Minaj",Tusa,0,3:20
El Salvador,North America,24,Morado,J Balvin,Colores,0,3:20
El Salvador,North America,25,Don't Start Now,Dua Lipa,Future Nostalgia,0,3:03
El Salvador,North America,26,PORFA,"Feid, Justin Quiles",FERXXO (VOL 1: M.O.R),0,3:52
El Salvador,North America,27,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",death bed (coffee for your head) (feat. beabadoobee),0,2:53
El Salvador,North America,28,Pa' Olvidarme De Ella,"Piso 21, Christian Nodal",Pa' Olvidarme De Ella,1,3:47
El Salvador,North America,29,Relación,Sech,1 of 1,0,3:04
El Salvador,North America,30,Amarillo,J Balvin,Colores,0,2:37
El Salvador,North America,31,Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,0,3:29
El Salvador,North America,32,Jangueo,"Alex Rose, Rafa Pabön",LOST,0,4:19
El Salvador,North America,33,PA' ROMPERLA,"Bad Bunny, Don Omar",LAS QUE NO IBAN A SALIR,1,3:14
El Salvador,North America,34,Callaita,"Bad Bunny, Tainy",Callaita,1,4:10
El Salvador,North America,35,El Efecto - Remix,"Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex",El Efecto (Remix),1,4:49
El Salvador,North America,36,BAD CON NICKY,"Bad Bunny, Nicky Jam",LAS QUE NO IBAN A SALIR,1,3:22
El Salvador,North America,37,A Tu Merced,Bad Bunny,YHLQMDLG,0,2:55
El Salvador,North America,38,MÁS DE UNA CITA,"Bad Bunny, Zion & Lennox",LAS QUE NO IBAN A SALIR,1,3:03
El Salvador,North America,39,Bajo La Mesa,"Morat, Sebastian Yatra",Bajo La Mesa,0,2:37
El Salvador,North America,40,Adicto (with Anuel AA & Ozuna),"Tainy, Anuel AA, Ozuna",Adicto (with Anuel AA & Ozuna),0,4:30
El Salvador,North America,41,Sigues Con El - Remix,"Arcangel, Sech, Romeo Santos",Sigues Con El (Remix),0,3:09
El Salvador,North America,42,Bellaquita - Remix,"Dalex, Lenny Tavárez, Anitta, Natti Natasha, Farruko, Justin Quiles",Modo Avión,1,5:04
El Salvador,North America,43,El Efecto,"Rauw Alejandro, Chencho Corleone",El Efecto,0,3:37
El Salvador,North America,44,Por Primera Vez,"Camilo, Evaluna Montaner",Por Primera Vez,0,3:02
El Salvador,North America,45,Qué Maldición,"Banda MS de Sergio Lizárraga, Snoop Dogg",Qué Maldición,0,3:23
El Salvador,North America,46,Azul,J Balvin,Colores,0,3:25
El Salvador,North America,47,Tutu,"Camilo, Pedro Capó",Por Primera Vez,0,2:59
El Salvador,North America,48,China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",China,0,5:01
El Salvador,North America,49,Quiéreme Mientras Se Pueda,Manuel Turizo,Quiéreme Mientras Se Pueda,0,3:11
El Salvador,North America,50,Quizas,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid, Wisin, Zion",The Academy,1,3:36
Estonia,Europe,1,Croissantid,Nublu,Croissantid,0,2:36
Estonia,Europe,2,Blinding Lights,The Weeknd,After Hours,0,3:20
Estonia,Europe,3,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),1,2:56
Estonia,Europe,4,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02
Estonia,Europe,5,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01
Estonia,Europe,6,Young Boy,NOËP,Young Boy,0,2:33
Estonia,Europe,7,GOOBA,6ix9ine,GOOBA,1,2:12
Estonia,Europe,8,Aluspükse,"5MIINUST, Nublu",Aluspükse,0,3:30
Estonia,Europe,9,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),0,2:56
Estonia,Europe,10,für Oksana,"Nublu, gameboy tetris",für Oksana,0,3:14
Estonia,Europe,11,Paaristõuked,"5MIINUST, Villemdrillem",Paaristõuked,0,3:33
Estonia,Europe,12,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",death bed (coffee for your head) (feat. beabadoobee),0,2:53
Estonia,Europe,13,Toosie Slide,Drake,Dark Lane Demo Tapes,1,4:07
Estonia,Europe,14,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,1,2:45
Estonia,Europe,15,In Your Eyes,The Weeknd,After Hours,1,3:57
Estonia,Europe,16,Breaking Me,"Topic, A7S",Breaking Me,0,2:46
Estonia,Europe,17,Blueberry Faygo,Lil Mosey,Certified Hitmaker,1,2:42
Estonia,Europe,18,Supalonely,"BENEE, Gus Dapperton",STELLA & STEVE,1,3:43
Estonia,Europe,19,Don't Start Now,Dua Lipa,Future Nostalgia,0,3:03
Estonia,Europe,20,Watermelon Sugar,Harry Styles,Fine Line,0,2:54
Estonia,Europe,21,The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,1,3:16
Estonia,Europe,22,Break My Heart,Dua Lipa,Future Nostalgia,0,3:41
Estonia,Europe,23,Boss Bitch,Doja Cat,Boss Bitch,0,2:14
Estonia,Europe,24,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",Stuck with U,0,3:48
Estonia,Europe,25,Falling,Trevor Daniel,Nicotine,0,2:39
Estonia,Europe,26,Be Kind (with Halsey),"Marshmello, Halsey",Be Kind (with Halsey),0,2:52
Estonia,Europe,27,Daechwita,Agust D,D-2,1,3:45
Estonia,Europe,28,SOS (Siimi Remix),"Pluuto, Nublu, Reket, Siimi",SOS (Siimi Remix),0,3:50
Estonia,Europe,29,Ooh Aah,Cdeep,Deep Sense,0,2:41
Estonia,Europe,30,Say So,Doja Cat,Hot Pink,1,3:57
Estonia,Europe,31,Sunday Best,Surfaces,Where the Light Is,0,2:38
Estonia,Europe,32,Kuule,Karl-Erik Taukar,Kuule,0,3:20
Estonia,Europe,33,WHATS POPPIN,Jack Harlow,Sweet Action,1,2:19
Estonia,Europe,34,Circles,Post Malone,Hollywood's Bleeding,0,3:35
Estonia,Europe,35,Play Date,Melanie Martinez,Cry Baby (Deluxe Edition),1,2:59
Estonia,Europe,36,öölaps!,Nublu,Mind on Mitu,0,3:12
Estonia,Europe,37,Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,0,3:29
Estonia,Europe,38,Party Girl,StaySolidRocky,Party Girl,0,2:27
Estonia,Europe,39,Tsirkus,"5MIINUST, Nublu, PLUUTO",Tsirkus,0,4:41
Estonia,Europe,40,ROXANNE,Arizona Zervas,ROXANNE,1,2:43
Estonia,Europe,41,Adore You,Harry Styles,Fine Line,0,3:27
Estonia,Europe,42,I Got Love,"MiyaGi & Endspiel, Rem Digga",I Got Love,0,4:36
Estonia,Europe,43,Life Is Good (feat. Drake),"Future, Drake",High Off Life,1,3:57
Estonia,Europe,44,everything i wanted,Billie Eilish,everything i wanted,0,4:05
Estonia,Europe,45,Intentions (feat. Quavo),"Justin Bieber, Quavo",Changes,0,3:32
Estonia,Europe,46,goosebumps,Travis Scott,Birds In The Trap Sing McKnight,1,4:03
Estonia,Europe,47,Ma Kuulsin Seda Läbi Viinamarjaväädi,Reket,Kulutuli,0,3:08
Estonia,Europe,48,Ride It,Regard,Ride It,0,2:37
Estonia,Europe,49,Say So (feat. Nicki Minaj),"Doja Cat, Nicki Minaj",Say So (feat. Nicki Minaj),1,3:26
Estonia,Europe,50,HIGHEST IN THE ROOM,Travis Scott,HIGHEST IN THE ROOM,1,2:55
Finland,Europe,1,Tässäkö tää oli? (feat. Leavings-Orkesteri),"Arttu Wiskari, Leavings-Orkesteri",Tässäkö tää oli? (feat. Leavings-Orkesteri),0,3:42
Finland,Europe,2,Blinding Lights,The Weeknd,After Hours,0,3:20
Finland,Europe,3,Penelope (feat. Clever),"william, Clever",Penelope (feat. Clever),0,3:03
Finland,Europe,4,GOOBA,6ix9ine,GOOBA,1,2:12
Finland,Europe,5,Christian Rapper,Devo,Christian Rapper,0,2:32
Finland,Europe,6,Believe Me - Remastered,"Devo, Janni",Believe Me (Remastered),1,3:02
Finland,Europe,7,Yhtenä sunnuntaina,Erin,Yhtenä sunnuntaina,0,3:39
Finland,Europe,8,"Liian vähän, liian myöhään",Evelina,"Liian vähän, liian myöhään",0,3:15
Finland,Europe,9,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01
Finland,Europe,10,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02
Finland,Europe,11,100%,"Keko Salata, BESS, Sexmane",100%,0,3:23
Finland,Europe,12,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),1,2:56
Finland,Europe,13,Tivolit,BEHM,Tivolit,0,3:31
Finland,Europe,14,100,Kube,100,0,2:47
Finland,Europe,15,Boss Bitch,Doja Cat,Boss Bitch,0,2:14
Finland,Europe,16,Epäröimättä hetkeekään,"Elastinen, Jenni Vartiainen",Epäröimättä hetkeekään,0,3:20
Finland,Europe,17,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,1,2:45
Finland,Europe,18,Breaking Me,"Topic, A7S",Breaking Me,0,2:46
Finland,Europe,19,Kings & Queens,Ava Max,Kings & Queens,0,2:42
Finland,Europe,20,Hei rakas,BEHM,Hei rakas,0,3:31
Finland,Europe,21,Thank You [Not So Bad],"VIZE, Felix Jaehn",Thank You [Not So Bad],0,3:17
Finland,Europe,22,Ikuinen vappu,JVG,RATA/RAITTI,0,3:07
Finland,Europe,23,Break My Heart,Dua Lipa,Future Nostalgia,0,3:41
Finland,Europe,24,LINKO,"Lord Est, MEGA-Ertsi",LINKO,0,3:12
Finland,Europe,25,Blueberry Faygo,Lil Mosey,Certified Hitmaker,1,2:42
Finland,Europe,26,Tuhansien Lärvien Maa,Petri Nygård,Tuhansien Lärvien Maa,0,2:37
Finland,Europe,27,Supalonely,"BENEE, Gus Dapperton",STELLA & STEVE,1,3:43
Finland,Europe,28,"Parempi yksin - Recorded At Spotify Studios, Stockholm",Pyhimys,Spotify Singles,0,3:02
Finland,Europe,29,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",Stuck with U,0,3:48
Finland,Europe,30,In Your Eyes,The Weeknd,After Hours,1,3:57
Finland,Europe,31,Valonsäteet,Vesta,Valonsäteet,0,3:49
Finland,Europe,32,Komm Komm,Capital Bra,Komm Komm,0,2:40
Finland,Europe,33,Toosie Slide,Drake,Dark Lane Demo Tapes,1,4:07
Finland,Europe,34,Hengitä,Tuure Boelius,Hengitä,0,2:40
Finland,Europe,35,Salt,Ava Max,Salt,0,3:00
Finland,Europe,36,Teipillä tai rakkaudella,ABREU,Teipillä tai rakkaudella,0,3:15
Finland,Europe,37,Lose Somebody,"Kygo, OneRepublic",Lose Somebody,0,3:19
Finland,Europe,38,Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,0,3:29
Finland,Europe,39,Play Date,Melanie Martinez,Cry Baby (Deluxe Edition),1,2:59
Finland,Europe,40,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",death bed (coffee for your head) (feat. beabadoobee),0,2:53
Finland,Europe,41,LA Money,ALMA,Have U Seen Her?,1,2:53
Finland,Europe,42,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),0,2:56
Finland,Europe,43,Herkku,"Seksikäs-Suklaa, Dosdela",Herkku,0,2:51
Finland,Europe,44,KYSYMYS (feat. Pyhimys),"Cledos, Pyhimys",KYSYMYS (feat. Pyhimys),0,2:42
Finland,Europe,45,Cicciolina,Erika Vikman,Cicciolina,0,2:58
Finland,Europe,46,Naamat,HesaÄijä,Naamat,0,3:04
Finland,Europe,47,Be Kind (with Halsey),"Marshmello, Halsey",Be Kind (with Halsey),0,2:52
Finland,Europe,48,Physical,Dua Lipa,Future Nostalgia,0,3:13
Finland,Europe,49,WHATS POPPIN,Jack Harlow,Sweet Action,1,2:19
Finland,Europe,50,Haituvat,"Jukka Poika, Janna",Haituvat,0,3:08
France,Europe,1,Angela,Hatik,Chaise pliante,1,3:56
France,Europe,2,JAUNÉ,"Booba, Zed",JAUNÉ,1,3:35
France,Europe,3,Blinding Lights,The Weeknd,After Hours,0,3:20
France,Europe,4,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),1,2:56
France,Europe,5,Meleğim,"Soolking, Dadju",Vintage,0,3:40
France,Europe,6,Lettre à une femme,Ninho,M.I.L.S 3,1,2:37
France,Europe,7,Tusa,"KAROL G, Nicki Minaj",Tusa,0,3:20
France,Europe,8,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),0,2:56
France,Europe,9,6.3,"Naps, Ninho",Carré VIP,1,3:32
France,Europe,10,Sousou,Jul,Sousou,1,3:57
France,Europe,11,Bro Bro,Zola,Bro Bro,1,2:24
France,Europe,12,Blanche,"Maes, Booba",Les derniers salopards,1,3:13
France,Europe,13,Toosie Slide,Drake,Dark Lane Demo Tapes,1,4:07
France,Europe,14,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",death bed (coffee for your head) (feat. beabadoobee),0,2:53
France,Europe,15,MAMACITA,"Black Eyed Peas, Ozuna, J. Rey Soul",MAMACITA,1,4:09
France,Europe,16,Criminel (feat. Niska),"Bramsito, Niska",Criminel,1,3:16
France,Europe,17,Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,0,3:29
France,Europe,18,Skechers,DripReport,Skechers,1,1:46
France,Europe,19,Distant,"Maes, Ninho",Les derniers salopards,1,2:42
France,Europe,20,Ride It,Regard,Ride It,0,2:37
France,Europe,21,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02
France,Europe,22,Zipette,Ninho,M.I.L.S 3,1,3:31
France,Europe,23,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,1,2:45
France,Europe,24,Ne reviens pas,"Gradur, Heuss L'enfoiré",Zone 59,1,3:08
France,Europe,25,GOOBA,6ix9ine,GOOBA,1,2:12
France,Europe,26,Dybala,"Maes, Jul",Les derniers salopards,1,3:31
France,Europe,27,1ère fois,"Imen Es, Alonzo",Nos vies,0,2:55
France,Europe,28,The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,1,3:16
France,Europe,29,La vie qu'on mène,Ninho,Destin,0,3:13
France,Europe,30,93% [Tijuana],"GLK, Landy, DA Uzi, Hornet La Frappe",Indécis,1,3:42
France,Europe,31,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01
France,Europe,32,MD (feat. Niska),"4Keus, Niska",Vie d'artiste,1,3:30
France,Europe,33,Salt,Ava Max,Salt,0,3:00
France,Europe,34,Crois-moi (feat. Ninho),"DA Uzi, Ninho",Architecte,1,3:03
France,Europe,35,Falling,Trevor Daniel,Nicotine,0,2:39
France,Europe,36,In Your Eyes,The Weeknd,After Hours,1,3:57
France,Europe,37,Breaking Me,"Topic, A7S",Breaking Me,0,2:46
France,Europe,38,Supalonely,"BENEE, Gus Dapperton",STELLA & STEVE,1,3:43
France,Europe,39,Moulaga,"Heuss L'enfoiré, Jul",Moulaga,1,2:59
France,Europe,40,Some Say,Nea,Some Say,0,2:55
France,Europe,41,Infinity - Dubdogz & Bhaskar Edit,"Dubdogz, Bhaskar",Infinity (Dubdogz & Bhaskar Edit),0,3:16
France,Europe,42,Train de vie (feat. PLK),"Leto, PLK",Virus: avant l'album,1,3:07
France,Europe,43,Prison pour mineurs,Hatik,Prison pour mineurs,1,1:34
France,Europe,44,Pirate,"Ninho, Hös Copperfield",Pirate,1,4:05
France,Europe,45,Physical,Dua Lipa,Future Nostalgia,0,3:13
France,Europe,46,Fait d'or,Jul,Fait d'or,1,5:15
France,Europe,47,So Maness,Soso Maness,So Maness,1,2:39
France,Europe,48,Sunday Best,Surfaces,Where the Light Is,0,2:38
France,Europe,49,Anissa,Wejdene,Anissa,0,2:55
France,Europe,50,Djomb,Bosh,Synkinisi,1,2:21
Germany,Europe,1,Roadrunner,Bonez MC,Roadrunner,0,2:29
Germany,Europe,2,Komm Komm,Capital Bra,Komm Komm,0,2:40
Germany,Europe,3,Fame,Apache 207,Fame,0,2:53
Germany,Europe,4,Airwaves,Pashanim,Airwaves,0,2:58
Germany,Europe,5,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01
Germany,Europe,6,Emotions,Ufo361,Rich Rich,0,2:26
Germany,Europe,7,Blinding Lights,The Weeknd,After Hours,0,3:20
Germany,Europe,8,GOOBA,6ix9ine,GOOBA,1,2:12
Germany,Europe,9,FAVELA,Dardan,FAVELA,1,2:39
Germany,Europe,10,Nicht verdient,"Capital Bra, Loredana",Nicht verdient,0,2:56
Germany,Europe,11,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),1,2:56
Germany,Europe,12,Toosie Slide,Drake,Dark Lane Demo Tapes,1,4:07
Germany,Europe,13,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),0,2:56
Germany,Europe,14,GEHT NICH GIBS NICH,"KC Rebell, Summer Cem",GEHT NICH GIBS NICH,0,3:00
Germany,Europe,15,Roller,Apache 207,Platte,1,2:37
Germany,Europe,16,Late Night,Luciano,Late Night,0,3:20
Germany,Europe,17,Breaking Me,"Topic, A7S",Breaking Me,0,2:46
Germany,Europe,18,Ich würd' lügen,KAYEF,Struggle Is Real,0,2:43
Germany,Europe,19,Maison,Luciano,Maison,0,3:13
Germany,Europe,20,WEISSER RAUCH,FOURTY,WEISSER RAUCH,0,3:02
Germany,Europe,21,Tränen aus Kajal,CÉLINE,Tränen aus Kajal,0,2:31
Germany,Europe,22,Never Let Me Down,"VIZE, Tom Gregory",Never Let Me Down,0,2:33
Germany,Europe,23,90-60-111,Shirin David,90-60-111,1,2:21
Germany,Europe,24,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",death bed (coffee for your head) (feat. beabadoobee),0,2:53
Germany,Europe,25,Some Say - Felix Jaehn Remix,"Nea, Felix Jaehn",Some Say (Felix Jaehn Remix),0,3:06
Germany,Europe,26,Kings & Queens,Ava Max,Kings & Queens,0,2:42
Germany,Europe,27,Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,0,3:29
Germany,Europe,28,WIEDER MAL,"FOURTY, Monet192",WIEDER MAL,0,2:55
Germany,Europe,29,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,1,2:45
Germany,Europe,30,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02
Germany,Europe,31,Te Amo Mi Amor,Sarah Lombardi,Te Amo Mi Amor,0,3:04
Germany,Europe,32,Salt,Ava Max,Salt,0,3:00
Germany,Europe,33,In Your Eyes (feat. Alida),"Robin Schulz, Alida",In Your Eyes (feat. Alida),0,3:28
Germany,Europe,34,MAMACITA,"Black Eyed Peas, Ozuna, J. Rey Soul",MAMACITA,1,4:09
Germany,Europe,35,Anders,Fero47,Anders,0,2:53
Germany,Europe,36,BaeBae,Samra,Jibrail & Iblis,0,2:47
Germany,Europe,37,Supalonely,"BENEE, Gus Dapperton",STELLA & STEVE,1,3:43
Germany,Europe,38,Like I Love You,"Nico Santos, Topic",Nico Santos,0,3:23
Germany,Europe,39,Trendsetter,"Nimo, Rina",Trendsetter,0,2:26
Germany,Europe,40,Modela,Ardian Bujupi,Modela,0,2:34
Germany,Europe,41,H <3 T E L,"Dardan, Monet192",H <3 T E L,0,2:44
Germany,Europe,42,Namen,Kontra K,Namen,1,3:18
Germany,Europe,43,Conan x Xenia,"Haftbefehl, Shirin David",Conan x Xenia,1,3:20
Germany,Europe,44,Sehe schwarz,"Ra'is, XATAR",Sehe schwarz,1,3:07
Germany,Europe,45,Rollercoaster,badmómzjay,Rollercoaster,1,2:45
Germany,Europe,46,200 km/h,Apache 207,Platte,1,2:43
Germany,Europe,47,The Passenger (LaLaLa),"LUM!X, MOKABY & D.T.E, Gabry Ponte",The Passenger (LaLaLa),0,2:39
Germany,Europe,48,Rückspiegel,Sinan-G,Rückspiegel,0,2:33
Germany,Europe,49,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",Stuck with U,0,3:48
Germany,Europe,50,What's Luv,Shindy,Byzantinische Rose,1,2:13
Greece,Europe,1,Millionaire,Snik,TOPBOY,1,2:35
Greece,Europe,2,Why,Snik,TOPBOY,1,3:49
Greece,Europe,3,TopBoy,"Snik, Capo Plaza",TOPBOY,1,2:26
Greece,Europe,4,Cubano,Snik,TOPBOY,1,2:51
Greece,Europe,5,Oh No,Snik,TOPBOY,1,3:02
Greece,Europe,6,Online,Snik,TOPBOY,1,3:26
Greece,Europe,7,PTSD,Snik,TOPBOY,1,2:58
Greece,Europe,8,Highway,Snik,TOPBOY,1,1:57
Greece,Europe,9,Sinefa,Snik,TOPBOY,1,2:43
Greece,Europe,10,Rockstar,Snik,TOPBOY,1,2:13
Greece,Europe,11,Colpo Grosso,"Snik, Guè Pequeno, Noizy, Capo Plaza",TOPBOY,1,4:33
Greece,Europe,12,Drip,"Snik, Mad Clip",TOPBOY,1,2:27
Greece,Europe,13,Medusa,Snik,TOPBOY,1,2:52
Greece,Europe,14,Kilo,Snik,TOPBOY,1,3:00
Greece,Europe,15,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,1,2:45
Greece,Europe,16,Cruel Summer,"DJ Stephan, Mad Clip, iLLEOo",Cruel Summer,1,3:32
Greece,Europe,17,GOOBA,6ix9ine,GOOBA,1,2:12
Greece,Europe,18,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),1,2:56
Greece,Europe,19,Woh - Remix,"Fy, Light, MC Bin Laden, Mad Clip, Mente Fuerte",Woh (Remix),1,3:50
Greece,Europe,20,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02
Greece,Europe,21,Senorita,"Snik, Tamta",Senorita,0,2:58
Greece,Europe,22,Blinding Lights,The Weeknd,After Hours,0,3:20
Greece,Europe,23,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01
Greece,Europe,24,Kotera,Mad Clip,Kotera,1,2:52
Greece,Europe,25,IG,"Slogan, MG",Big Chunes,1,2:39
Greece,Europe,26,BIG MAN,Snik,BIG MAN,1,3:01
Greece,Europe,27,Toosie Slide,Drake,Dark Lane Demo Tapes,1,4:07
Greece,Europe,28,Who U,"MG, iLLEOo",Who U,1,2:33
Greece,Europe,29,Eros,"DJ Stephan, Ypo, Sophia",Eros,1,3:02
